source_id,adoption_mode,filter_policy,collection_phase,canonical_source_id
aws--rss--093,all,none,current_rss,
github--rss--177,all,none,current_rss,
hugging-face--github_releases--392,all,none,phase_3b,
hugging-face--rss--394,all,none,current_rss,
nvidia--rss--256,all,none,current_rss,
openai--rss--007,all,none,current_rss,
google-deepmind--rss--018,all,none,current_rss,
langchain--github_releases--434,all,none,phase_3b,
microsoft-ai--rss--107,filtered,ai_terms_v1,phase_3c,
mistral-ai--rss--033,all,none,current_rss,
pytorch--github_releases--395,all,none,phase_3b,
vllm--github_releases--423,all,none,phase_3b,
aws--newsroom--086,all,none,duplicate,aws--rss--093
hugging-face--newsroom--388,all,none,duplicate,hugging-face--rss--394
mlcommons--rss--456,all,none,current_rss,
openai--newsroom--001,all,none,duplicate,openai--rss--007
brave--github_releases--345,filtered,ai_terms_v1,phase_3b,
github--other--171,all,none,duplicate,github--rss--177
google-deepmind--newsroom--014,all,none,duplicate,google-deepmind--rss--018
llamaindex--github_releases--439,all,none,phase_3b,
microsoft-ai--newsroom--101,filtered,ai_terms_v1,duplicate,microsoft-ai--rss--107
mistral-ai--newsroom--029,all,none,duplicate,mistral-ai--rss--033
nvidia--other--250,all,none,duplicate,nvidia--rss--256
ollama--github_releases--429,all,none,phase_3b,
qdrant--github_releases--535,all,none,phase_3b,
redis--github_releases--555,filtered,ai_terms_v1,phase_3b,
sourcegraph--rss--615,filtered,ai_terms_v1,phase_3c,
weaviate--github_releases--530,all,none,phase_3b,
llama-cpp--github_releases--426,all,none,phase_3b,
aws--release_notes--091,all,none,later_html,
aws--github_org--092,filtered,ai_terms_v1,later_github_org,
apple-ml-research--rss--379,all,none,current_rss,
github--release_notes--175,filtered,ai_terms_v1,later_html,
github--github_org--176,filtered,ai_terms_v1,later_github_org,
google-cloud--release_notes--099,all,none,later_html,
google-cloud--github_org--100,filtered,ai_terms_v1,later_github_org,
hugging-face--github_org--393,all,none,later_github_org,
mlcommons--newsroom--452,all,none,duplicate,mlcommons--rss--456
nvidia--github_org--255,filtered,ai_terms_v1,later_github_org,
openai--github_org--006,all,none,later_github_org,
openai--release_notes--005,all,none,later_html,
sourcegraph--release_notes--610,filtered,ai_terms_v1,duplicate,sourcegraph--rss--615
ai2--github_org--350,all,none,later_github_org,
aws--blog--088,all,none,duplicate,aws--rss--093
anthropic--release_notes--012,all,none,later_html,
anthropic--github_org--013,all,none,later_github_org,
apple--release_notes--334,filtered,ai_terms_v1,later_html,
apple--github_org--335,filtered,ai_terms_v1,later_github_org,
bun--github_releases--621,filtered,ai_terms_v1,phase_3b,
databricks--release_notes--140,filtered,ai_terms_v1,later_html,
databricks--github_org--141,filtered,ai_terms_v1,later_github_org,
deno--github_releases--626,filtered,ai_terms_v1,phase_3b,
github--blog--174,filtered,ai_terms_v1,later_html,
github--newsroom--173,filtered,ai_terms_v1,later_html,
google-cloud--blog--096,filtered,ai_terms_v1,later_html,
google-cloud--newsroom--094,filtered,ai_terms_v1,later_html,
google-deepmind--github_org--017,all,none,later_github_org,
google-research--github_org--378,filtered,ai_terms_v1,later_github_org,
langchain--github_org--438,all,none,later_github_org,
meta-ai--github_org--024,all,none,later_github_org,
microsoft-ai--github_org--106,filtered,ai_terms_v1,later_github_org,
microsoft-research--github_org--376,filtered,ai_terms_v1,later_github_org,
mistral-ai--github_org--032,all,none,later_github_org,
nvidia--blog--253,filtered,ai_terms_v1,later_html,
nvidia--newsroom--252,filtered,ai_terms_v1,later_html,
pytorch--github_org--399,all,none,later_github_org,
vllm--github_org--425,all,none,later_github_org,
xai--github_org--028,all,none,later_github_org,
ai2--newsroom--347,all,none,later_html,
aws--other--087,none,none,hold,
aws--developer_blog--090,filtered,ai_terms_v1,later_html,
aws--research--089,filtered,ai_terms_v1,later_html,
anthropic--newsroom--008,all,none,later_html,
apple--newsroom--330,filtered,ai_terms_v1,later_html,
cloudflare--release_notes--124,filtered,ai_terms_v1,later_html,
cloudflare--github_org--125,filtered,ai_terms_v1,later_github_org,
cursor--blog--606,all,none,later_html,
cursor--newsroom--604,all,none,later_html,
databricks--blog--137,filtered,ai_terms_v1,later_html,
databricks--newsroom--135,filtered,ai_terms_v1,later_html,
deepseek--github_org--047,all,none,later_github_org,
github--other--172,none,none,hold,
google-cloud--other--095,none,none,hold,
google-cloud--developer_blog--098,filtered,ai_terms_v1,later_html,
google-cloud--research--097,filtered,ai_terms_v1,later_html,
